Appendicitis,Acute inflammation of appendix,K35,Right lower quadrant pain;Fever;Nausea,Severe,Ultrasound;CT Scan,Surgery,None,Acute,Children/Adults,Enlarged appendix on imaging
Urinary Tract Infection,Infection of urinary tract,N39,Dysuria;Frequency;Lower abdominal pain,Mild-Moderate,Urine culture;Urinalysis,Antibiotics,Diabetes;Female sex,Acute,Women,Normal
Pyelonephritis,Kidney infection,N10,Fever;Flank pain;Dysuria,Moderate-Severe,Urine culture;Ultrasound,Antibiotics,Diabetes;Female sex,Acute,Adults,Enlarged kidneys on US
Benign Prostatic Hyperplasia,Non-cancerous prostate enlargement,N40,Urinary frequency;Nocturia;Weak stream,Mild-Moderate,Digital rectal exam;Ultrasound,Medications;Surgery,Age;Diabetes,Gradual,Older men,Enlarged prostate on US
Prostate Cancer,Malignant prostate tumor,C61,Urinary difficulty;Hematuria;Pelvic pain,Moderate-Severe,Biopsy;PSA,Surgery;Radiotherapy;Hormonal therapy,Age;Family history,Gradual,Older men,Irregular prostate nodules on imaging
Hypertension,Chronic elevation of blood pressure,I10,Headache;Dizziness;Blurred vision,Moderate,Blood pressure measurement;Blood tests,Lifestyle changes;Antihypertensive medications,Heart disease;Kidney disease,Gradual,Adults over 40;Family history,Normal
Type 2 Diabetes,Metabolic disorder with high blood sugar,E11,Increased thirst;Frequent urination;Fatigue,Severe,Blood glucose test;HbA1c test,Insulin therapy;Diet modification,Obesity;Hypertension,Gradual,Adults over 40;Obese individuals,Normal
Asthma,Chronic inflammatory airway disease,J45,Shortness of breath;Wheezing;Cough,Mild-Significant,Spirometry;Allergy tests,Inhaled corticosteroids;Bronchodilators,Allergic rhinitis;Eczema,Acute;Chronic,Children;Allergy-prone adults,Normal
COPD,Progressive lung disease causing airflow obstruction,J44,Chronic cough;Sputum production;Shortness of breath,Moderate-Severe,Spirometry;Chest X-ray,Inhaled bronchodilators;Oxygen therapy,Smoking;Heart disease,Chronic,Adults over 50;Smokers,Hyperinflated lungs on X-ray
Acute Myocardial Infarction,Heart attack due to blocked coronary arteries,I21,Severe chest pain;Shortness of breath;Sweating,Critical,ECG;Cardiac enzymes,PCI;Thrombolytics,Hypertension;Diabetes,Acute,Adults over 40;Smokers,ST-elevation on ECG
Stroke (Ischemic),Blockage of cerebral artery,I63,Sudden weakness;Facial droop;Speech difficulty,Critical,CT/MRI Brain,Thrombolysis;Antiplatelets,Hypertension;Diabetes,Acute,Adults over 50;Atrial fibrillation,Ischemic changes on CT
Stroke (Hemorrhagic),Rupture of cerebral blood vessel,I61,Severe headache;Vomiting;Loss of consciousness,Critical,CT/MRI Brain,Surgical intervention;Blood pressure control,Hypertension;Aneurysm,Acute,Adults over 40;Hypertensives,Intracerebral bleed on CT
Pneumonia,Infection of lung tissue,J18,Fever;Cough;Shortness of breath,Moderate-Severe,Chest X-ray;Blood cultures,Antibiotics;Oxygen therapy,Asthma;COPD,Acute,Children;Elderly,Consolidation on X-ray
Tuberculosis,Bacterial infection affecting lungs,A15,Chronic cough;Night sweats;Weight loss,Severe,Sputum culture;Chest X-ray,Antitubercular therapy,HIV;Malnutrition,Gradual,Adults;Immunocompromised,Cavitary lesions on X-ray
Chronic Kidney Disease,Gradual loss of kidney function,N18,Fatigue;Swelling;Frequent urination,Moderate-Severe,Blood tests;Urine tests,Dialysis;Lifestyle modification,Hypertension;Diabetes,Chronic,Adults over 50;Diabetics,Small kidneys on Ultrasound
Alzheimer’s Disease,Neurodegenerative disorder,G30,Memory loss;Confusion;Mood changes,Severe,Neuropsychological testing;MRI,Supportive care;Medications,Age;Family history,Gradual,Elderly,MRI shows hippocampal atrophy
Parkinson’s Disease,Progressive movement disorder,G20,Tremor;Rigidity;Bradykinesia,Moderate-Severe,Neurological exam;DaTscan,Levodopa;Deep brain stimulation,Age;Genetic predisposition,Gradual,Older adults,MRI may show substantia nigra changes
Rheumatoid Arthritis,Autoimmune joint disease,M06,Joint pain;Swelling;Morning stiffness,Moderate-Severe,Blood tests;X-rays,DMARDs;Biologics,Other autoimmune diseases,Chronic,Adults;Female predominance,X-ray shows joint erosions
Osteoarthritis,Degenerative joint disease,M15-M19,Joint pain;Stiffness;Limited mobility,Mild-Moderate,X-ray,Physiotherapy;NSAIDs,Obesity;Prior joint injury,Gradual,Elderly,X-ray shows joint space narrowing
Systemic Lupus Erythematosus,Autoimmune multisystem disease,M32,Fatigue;Rash;Joint pain,Moderate-Severe,Blood tests;Urine tests,Immunosuppressants,Other autoimmune disorders,Gradual,Women of childbearing age,Butterfly rash on face
Multiple Sclerosis,Autoimmune CNS disorder,G35,Weakness;Visual disturbances;Numbness,Moderate-Severe,MRI Brain;CSF analysis,Disease-modifying therapy,Autoimmune conditions,Relapsing,Young adults,MRI shows demyelinating plaques
HIV Infection,Viral infection affecting immune system,B20,Fever;Weight loss;Night sweats,Severe,Blood tests;Viral load,ART,Hepatitis B/C,Gradual,Adults;High-risk behavior,Reduced CD4 count
Hepatitis B,Viral liver infection,B16,Fatigue;Jaundice;Abdominal pain,Moderate-Severe,Blood tests;Liver function tests,Antivirals,HIV;Other liver diseases,Acute/Chronic,Adults;Unvaccinated,Elevated liver enzymes
Hepatitis C,Viral liver infection,B17-B18,Fatigue;Jaundice;Dark urine,Moderate-Severe,Blood tests;PCR,Antivirals,Alcohol use;HIV,Acute/Chronic,Adults;IV drug users,Elevated liver enzymes
Cirrhosis,Chronic liver damage,K74,Fatigue;Abdominal swelling;Jaundice,Severe,Blood tests;Ultrasound,Liver transplant;Medications,Hepatitis B/C;Alcoholism,Gradual,Adults;Chronic alcohol users,Shrunken liver on Ultrasound
Gastroesophageal Reflux Disease,Stomach acid reflux,K21,Heartburn;Regurgitation;Cough,Mild-Moderate,Endoscopy;pH monitoring,Lifestyle changes;PPIs,Obesity;Hiatal hernia,Chronic,Adults,Esophagitis on Endoscopy
Peptic Ulcer Disease,Stomach or duodenal ulcers,K25-K27,Abdominal pain;Nausea;Vomiting,Moderate,Blood tests;Endoscopy,PPIs;H. pylori eradication,H. pylori infection;NSAID use,Acute/Chronic,Adults,Ulcer on Endoscopy
Cholelithiasis,Gallstones,K80,Right upper quadrant pain;Nausea;Indigestion,Moderate,Ultrasound,Surgery;Medications,Obesity;Female sex,Acute/Chronic,Adults,Ultrasound shows gallstones
Cholecystitis,Inflammation of gallbladder,K81,Right upper quadrant pain;Fever;Nausea,Moderate-Severe,Ultrasound;Blood tests,Surgery;Antibiotics,Gallstones,Acute,Adults,Thickened gallbladder wall on Ultrasound
Pancreatitis,Inflammation of pancreas,K85,K86,Abdominal pain;Nausea;Vomiting,Severe,Blood tests;CT Scan,Supportive care;Surgery,Alcohol use;Gallstones,Acute/Chronic,Adults;Enlarged pancreas on CT
Type 1 Diabetes,Autoimmune beta-cell destruction,E10,Polyuria;Polydipsia;Weight loss,Severe,Blood glucose;C-peptide,Insulin therapy,Other autoimmune diseases,Acute/Chronic,Children/Adolescents,Normal
Hyperthyroidism,Excess thyroid hormone,E05,Weight loss;Palpitations;Heat intolerance,Moderate,Blood tests;Ultrasound,Antithyroid medications;Radioiodine,Graves’ disease;Female sex,Gradual,Adults;Women of childbearing age,Enlarged thyroid on US
Hypothyroidism,Low thyroid hormone,E03,Fatigue;Weight gain;Cold intolerance,Mild-Moderate,Blood tests,Levothyroxine,Hashimoto’s;Female sex,Gradual,Adults;Women,Atrophic thyroid on US
Celiac Disease,Gluten-induced autoimmune enteropathy,K90,Diarrhea;Abdominal pain;Weight loss,Mild-Moderate,Blood tests;Endoscopy,Gluten-free diet,Type 1 diabetes;Autoimmune thyroid,Gradual,Children/Adults,Flattened villi on biopsy
Hypertension,Chronic elevation of blood pressure,I10,Headache;Dizziness;Blurred vision;Nosebleeds,Moderate,Blood pressure measurement;Blood tests,Lifestyle changes;Antihypertensive medications,Heart disease;Kidney disease,Gradual,Adults over 40;Family history,Normal heart and vessel imaging
Type 2 Diabetes,Metabolic disorder with high blood sugar,E11,Polyuria;Polydipsia;Polyphagia;Fatigue;Blurred vision,Severe,Blood glucose;HbA1c test,Insulin therapy;Diet modification;Oral hypoglycemics,Obesity;Hypertension,Gradual,Adults over 40;Obese individuals,Normal pancreas imaging
Asthma,Chronic inflammatory airway disease,J45,Shortness of breath;Wheezing;Cough (esp. night);Chest tightness,Mild-Significant,Spirometry;Allergy tests,Inhaled corticosteroids;Bronchodilators,Allergic rhinitis;Eczema,Acute;Chronic,Children;Allergy-prone adults,Hyperinflated lungs on CXR
COPD,Progressive airway obstruction,J44,Chronic cough;Sputum production;Shortness of breath;Wheezing,Moderate-Severe,Spirometry;Chest CT,Bronchodilators;Oxygen therapy;Pulmonary rehab,Smoking;Heart disease,Gradual,Smokers over 50,Hyperinflation and flattened diaphragm
Acute Myocardial Infarction,Sudden cardiac ischemia,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Sweating,Severe,ECG;Troponin;Coronary angiography,Hypertension;Diabetes;Hyperlipidemia,Acute,Adults over 40;Smokers,ST elevation on ECG,Regional wall motion abnormality
Heart Failure (CHF),Heart pump dysfunction,I50,Shortness of breath;Fatigue;Peripheral edema;Orthopnea,Severe,Echocardiography;BNP;Chest X-ray,Hypertension;Ischemic heart disease,Gradual,Adults over 50,Enlarged heart,Pulmonary congestion
Stroke (Ischemic),Brain infarction,I63,Sudden weakness;Facial droop;Speech difficulty;Vision changes;Confusion,Severe,CT/MRI Brain;Carotid Doppler,Hypertension;Diabetes;Atrial fibrillation,Acute,Older adults,Hyperdense artery sign on CT,none
Stroke (Hemorrhagic),Bleeding into brain,I61,Sudden headache;Vomiting;Altered consciousness;Hemiparesis,Severe,CT/MRI Brain,Blood pressure control;Surgical intervention,Hypertension;Anticoagulant use,Acute,Adults 50+,Intracerebral bleed on CT
Pneumonia,Infectious lung inflammation,J18,Cough;Fever;Chills;Shortness of breath;Chest pain,Moderate-Severe,Chest X-ray;Sputum culture;Blood tests,Antibiotics;Supportive care,Smoking;COPD,Acute,All ages,Consolidation on CXR
Tuberculosis,Chronic infectious lung disease,A15-Chronic cough;Night sweats;Fever;Weight loss;Hemoptysis,Severe,Chest X-ray;Sputum AFB culture,Antitubercular therapy,HIV;Malnutrition,Gradual,Adults;Immunocompromised,Upper lobe infiltrates on CXR,none
Lung Cancer,Malignant pulmonary tumor,C34,Cough;Hemoptysis;Chest pain;Dyspnea;Weight loss,Severe,Chest CT;Biopsy,Surgery;Chemotherapy;Radiotherapy,Smoking;COPD,Gradual,Older adults,Mass lesion on CT;Nodules
Breast Cancer,Mammary gland malignancy,C50,Painless lump;Skin changes;Nipple retraction;Lymphadenopathy,Severe,Mammography;Biopsy,Surgery;Chemotherapy;Radiotherapy,Older age;Family history,Gradual,Women over 40,Mass lesion on mammogram
Colorectal Cancer,Malignant colorectal tumor,C18,Change in bowel habits;Rectal bleeding;Abdominal pain;Weight loss,Severe,Colonoscopy;Biopsy;CT,Polyps;IBD,Gradual,Adults over 50,Mass lesion;Wall thickening on CT
Pancreatic Cancer,Malignant pancreatic tumor,C25,Upper abdominal pain;Weight loss;Jaundice;New-onset diabetes,Severe,Abdominal CT;Endoscopic biopsy,Surgery;Chemotherapy;Palliative care,Chronic pancreatitis;Smoking,Gradual,Adults over 50,Pancreatic mass on CT
Chronic Kidney Disease,Progressive renal failure,N18,Fatigue;Edema;Decreased urine output;Nausea,Severe,Blood tests;Urinalysis;Ultrasound,ACE inhibitors;Dialysis;Lifestyle modifications,Diabetes;Hypertension,Gradual,Adults over 40,Small echogenic kidneys on USG
Hepatitis B,Viral liver infection,B16,Fever;Fatigue;Jaundice;Dark urine;Abdominal pain,Moderate,Liver function tests;HBsAg;Ultrasound,Antivirals;Supportive care,HIV;Alcohol use,Acute,All ages,Enlarged liver on USG
Hepatitis C,Viral liver infection,B17,Fatigue;Jaundice;Dark urine;Nausea,Moderate,Liver function tests;Anti-HCV,Antivirals;Supportive care,HIV;IV drug use,Acute,Adults,Normal to mild hepatomegaly
Liver Cirrhosis,Chronic liver fibrosis,K74,Fatigue;Jaundice;Ascites;Itching;Easy bruising,Severe,Liver function tests;Ultrasound;CT,Steroids;Liver transplant;Supportive care,Alcohol;Hepatitis B/C,Gradual,Adults over 40,Nodular liver on USG
Acute Pancreatitis,Inflammatory pancreas disease,K85,Severe abdominal pain;Nausea;Vomiting;Fever,Severe,Amylase/Lipase;CT,IV fluids;Pain control;Supportive care,Gallstones;Alcohol,Acute,Adults,Enlarged pancreas on CT
Rheumatoid Arthritis,Autoimmune joint disease,M06,Joint pain;Swelling;Morning stiffness;Fatigue,Moderate-Severe,Blood tests;X-ray,NSAIDs;DMARDs;Steroids,SLE;Osteoporosis,Gradual,Adults 30-60,X-ray shows joint erosion
Systemic Lupus Erythematosus,Autoimmune multi-organ disease,M32,Fever;Fatigue;Joint pain;Butterfly rash;Photosensitivity,Severe,Blood tests;ANA,Immunosuppressants;Steroids,RA;Kidney disease,Gradual,Women 20-50,Normal to mild organ involvement
Parkinson's Disease,Neurodegenerative disorder,G20,Tremor at rest;Bradykinesia;Rigidity;Postural instability,Moderate-Severe,Neurological exam;MRI brain,Levodopa;Dopamine agonists;Physical therapy,Older age;Depression,Gradual,Adults over 60,Reduced substantia nigra signal on MRI
Alzheimer's Disease,Progressive dementia,G30,Memory loss;Disorientation;Language impairment;Behavior changes,Severe,MMSE;MRI brain,Supportive care;Cholinesterase inhibitors,Older age;Family history,Gradual,Older adults,Hippocampal atrophy on MRI
Epilepsy,Chronic seizure disorder,G40,Seizures;Loss of consciousness;Aura;Confusion post-episode,Moderate-Severe,EEG;MRI brain,Anticonvulsants;Ketogenic diet,Traumatic brain injury;Stroke,Acute/Chronic,All ages,EEG abnormalities
Migraine,Recurrent severe headache,G43,Unilateral throbbing headache;Nausea;Photophobia;Aura,Mild-Severe,Neurological exam;MRI brain,NSAIDs;Triptans;Preventive therapy,Stress;Hormonal changes,Acute/Chronic,Adults,MRI usually normal
Multiple Sclerosis,Autoimmune demyelination,G35,Visual disturbances;Weakness;Fatigue;Spasticity,Moderate-Severe,MRI brain;CSF analysis,Immunomodulators;Steroids,Older age;Female predominance,Gradual,Adults 20-50,White matter lesions on MRI
Chronic Obstructive Pulmonary Disease,Progressive airflow limitation,J44,Chronic cough;Sputum;Dyspnea;Wheezing,Severe,Spirometry;Chest CT,Smoking cessation;Bronchodilators;Oxygen therapy,Heart disease;Lung cancer,Gradual,Adults over 50,Hyperinflated lungs on CXR
Pulmonary Embolism,Acute pulmonary artery blockage,I26,Acute shortness of breath;Chest pain;Cough;Hemoptysis,Severe,D-dimer;CT pulmonary angiography;V/Q scan,Recent surgery;Cancer;Immobilization,Acute,Adults,CT: Filling defect in pulmonary artery,none
Pneumothorax,Collapsed lung,J93,Sudden chest pain;Shortness of breath,Severe,Chest X-ray;CT,Chest tube insertion;Observation,Young males;COPD patients,Acute,All ages,Visible pleural air on X-ray
Sepsis,Systemic infection,A41,Fever;Rapid heart rate;Hypotension;Confusion,Severe,Blood cultures;CBC;Lactate,IV antibiotics;Fluid resuscitation;Vasopressors,Immunocompromised;Elderly,Acute,All ages,CT: Possible source of infection
Meningitis,Infection of meninges,G00,Fever;Neck stiffness;Headache;Photophobia;Vomiting,Severe,Lumbar puncture;CSF analysis;Blood cultures,IV antibiotics;Supportive care,Immunocompromised;Infants,Acute,All ages,CT normal;CSF pleocytosis
Encephalitis,Brain inflammation,G04,Altered consciousness;Seizures;Fever;Headache,Severe,MRI brain;CSF analysis;EEG,Antivirals;Supportive care,Immunocompromised;Children,Acute,All ages,MRI: Hyperintense lesions
Rabies,Viral neuroinfection,A82,Agitation;Hydrophobia;Paralysis;Coma,Severe,Exposure history;Serology,Post-exposure prophylaxis,Animal bite victims,Acute,All ages,Normal until late-stage CNS involvement
HIV/AIDS,Chronic viral immunodeficiency,B20,Fever;Night sweats;Weight loss;Chronic diarrhea;Oral thrush,Severe,HIV serology;CD4 count;Viral load,Antiretroviral therapy,Co-infections (TB, Hepatitis),Gradual,High-risk adults;Normal early;Lymphadenopathy
Malaria,Parasitic infection,B50-B54,High fever;Chills;Sweats;Headache;Nausea,Moderate-Severe,Blood smear;Rapid diagnostic test,Antimalarials,Children;Travelers to endemic areas,Acute,Blood smear: Parasites in RBCs,none
Dengue,Fever from mosquito-borne virus,A90-91,High fever;Severe headache;Retro-orbital pain;Rash;Myalgia,Moderate-Severe,Blood counts;Serology,Supportive care;Fluid replacement,Adults in endemic regions,Acute,Children & Adults,Thrombocytopenia on blood test
Severe Dengue,Dengue hemorrhagic fever,A91,Plasma leakage;Hemorrhage;Shock;Severe abdominal pain,Severe,Blood counts;Ultrasound,IV fluids;Blood transfusion,Children & Adults,Acute,Endemic regions,Ascites;Pleural effusion
Typhoid Fever,Bacterial infection,A01,Fever;Abdominal pain;Rose spots;Diarrhea/Constipation,Moderate,Blood culture;Widal test,Antibiotics,Travelers to endemic regions,Gradual,All ages,Enlarged mesenteric lymph nodes on USG
Cholera,Acute bacterial gastroenteritis,A00,Profuse watery diarrhea;Severe dehydration;Leg cramps,Severe,Stool culture;Electrolytes,IV fluids;Antibiotics in severe cases,Unhygienic water consumption,Acute,Children & Adults,Dehydration signs
Leukemia (Acute),Blood cancer,C91-C95,Fatigue;Fever;Frequent infections;Easy bleeding,Severe,Blood tests;Bone marrow biopsy,Chemotherapy;Stem cell transplant,Immunodeficiency;Genetic predisposition,Gradual,Children & Adults,Abnormal WBC on smear
Lymphoma,Lymphatic malignancy,C81-C85,Enlarged lymph nodes;Fever;Night sweats;Weight loss,Severe,CT scan;Lymph node biopsy,Chemotherapy;Radiotherapy,Immunodeficiency;HIV,Gradual,Adults,Enlarged nodes on CT
Ovarian Cancer,Malignant ovarian tumor,C56,Abdominal bloating;Pelvic pain;Early satiety;Ascites,Severe,Ultrasound;CT;CA-125,Surgery;Chemotherapy,Family history;BRCA mutation,Gradual,Women over 40,Complex ovarian mass on USG
Kidney Stones,Crystalline nephrolithiasis,N20,Severe flank pain;Hematuria;Nausea;Vomiting,Moderate,Urinalysis;CT kidney,Ureteroscopy;Lithotripsy;Pain control,Dehydration;Hypercalcemia,Acute,Adults,Visible stones on CT/USG
Appendicitis,Acute appendix inflammation,K35,Periumbilical pain migrating to RLQ;Fever;Nausea,Severe,Ultrasound;CT abdomen,Surgery,Young adults;High-fiber deficiency,Acute,All ages,Enlarged appendix on USG
Rheumatoid Arthritis,Autoimmune joint inflammation,M06,Joint pain;Swelling;Morning stiffness;Fatigue,Moderate-Severe,Blood tests;X-ray,NSAIDs;DMARDs;Steroids,SLE;Osteoporosis,Gradual,Adults 30-60,X-ray: joint erosion
Systemic Lupus Erythematosus,Multi-system autoimmune disease,M32,Fever;Fatigue;Joint pain;Butterfly rash;Photosensitivity,Severe,Blood tests;ANA,Immunosuppressants;Steroids,RA;Kidney disease,Gradual,Women 20-50,Normal to mild organ involvement
Severe Allergic Reaction (Anaphylaxis),Life-threatening hypersensitivity,T78,Hives;Swelling;Airway constriction;Hypotension;Wheezing,Severe,Clinical observation;Allergy tests,IM epinephrine;Airway management,History of allergies,Acute,All ages,Normal
Rabies,Neurological viral infection,A82,Prodrome: fever, malaise;Neurologic phase: agitation;Hydrophobia;Paralysis,Severe,Exposure history;Serology,Post-exposure prophylaxis,Animal bite,Acute,All ages;Normal early;CNS changes in late stage
Zika Virus,Viral infection causing birth defects,A92,Fever;Rash;Conjunctivitis;Muscle pain;Joint pain,Moderate,Blood tests;PCR,Supportive care,Pregnant women,Acute,Adults & Pregnant women,Mild rash;Normal imaging
